thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
16,0,16,down,0,0.5831788000650704,None,0,16,0,16,0,26.09826390002854,,26.083397899987176,26.09826390002854,27.099085499998182,27.099085499998182,27.683214799966663,down,0,0.5831788000650704,None,0,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
17,0,17,down,1,0.5846977999899536,None,-3,17,0,17,0,27.69858830003068,,27.683548799948767,27.69858830003068,28.683797399979085,28.700299399904907,29.283940399996936,down,1,0.5846977999899536,None,-3,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
18,0,18,down,1,0.6433916999958456,None,4,18,0,18,0,29.299522900022566,,29.284218600019813,29.299522900022566,30.283370699966326,30.299360200064257,30.932968799956143,down,1,0.6433916999958456,None,4,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
19,0,19,down,1,0.609930400038138,None,-2,19,0,19,0,30.94893559999764,,30.933402499882504,30.94893559999764,31.933781000087038,31.948666099924594,32.548717099940404,down,1,0.609930400038138,None,-2,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
20,0,20,up,0,0.5244679998140782,None,3,20,0,20,0,32.565260800067335,,32.54902620008215,32.565260800067335,33.56515559996478,33.58110850001685,34.097443599952385,up,0,0.5244679998140782,None,3,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
21,0,21,down,1,0.7005304000340402,None,-3,21,0,21,0,34.11500460002571,,34.09766289987601,34.11500460002571,35.09848679997958,35.11529910005629,35.815394199918956,down,1,0.7005304000340402,None,-3,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
22,0,22,up,0,0.5974349000025541,None,2,22,0,22,0,35.83087749988772,,35.815608999924734,35.83087749988772,36.81633080006577,36.83385799988173,37.416364199947566,up,0,0.5974349000025541,None,2,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
23,0,23,up,1,0.6963892001658678,None,0,23,0,23,0,37.43366219988093,,37.416613299865276,37.43366219988093,38.41719519998878,38.43388539995067,39.11761359986849,up,1,0.6963892001658678,None,0,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
24,0,24,down,1,0.5970616999547929,None,-2,24,0,24,0,39.13384220004082,,39.1179144999478,39.13384220004082,40.133409600006416,40.133409600006416,40.73444869997911,down,1,0.5970616999547929,None,-2,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
25,0,25,up,1,0.5733873001299798,None,0,25,0,25,0,40.750262500019744,,40.73472289997153,40.750262500019744,41.73391250008717,41.7501312000677,42.316319999983534,up,1,0.5733873001299798,None,0,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
26,0,26,up,0,0.7030265999492258,None,-4,26,0,26,0,42.33180280006491,,42.316622300073504,42.33180280006491,43.31725690001622,43.33394280006178,44.033397800056264,up,0,0.7030265999492258,None,-4,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
27,0,27,down,0,0.5064265001565218,None,0,27,0,27,0,44.04912499990314,,44.033800799865276,44.04912499990314,45.034291399875656,45.050479700090364,45.55134049989283,down,0,0.5064265001565218,None,0,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
28,0,28,down,0,0.47639610012993217,None,0,28,0,28,0,45.565679699881,,45.551790999947116,45.565679699881,46.56555980001576,46.56555980001576,47.051635100040585,down,0,0.47639610012993217,None,0,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
29,0,29,up,1,0.5335365000646561,None,0,29,0,29,0,47.07127150008455,,47.0519701000303,47.07127150008455,48.06743500009179,48.084057099884376,48.61672049993649,up,1,0.5335365000646561,None,0,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
