delay,freq,conditions,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0.1,400,unexp,205,13,12,space,1.0765265000518411,None,399,1,[10.373618999961764],[10.373629400040954],12,13,205,3,1439.1864295999985,,1439.1702614999376,1439.1864295999985,1440.169435299933,1440.169435299933,1440.1861168999458,1441.2529121999396,space,1.0765265000518411,None,1441.253615799942,1441.3534009666803,1441.6642386999447,1441.6541600000346,1441.6545235000085,1441.6642386999447,1441.6642386999447,1441.6642386999447,1452.0383784000296,399,1,[10.373618999961764],[10.373629400040954],01,001,2025-11-05_18h31.52.568,intentional_binding_exp,,2025.1.1,60.157938622099465,2025-11-05 18h32.02.820104 +0530,
0.7,1000,exp,206,14,12,space,0.831012099981308,None,600,1,[2.476055599981919],[2.476065899943933],12,14,206,11,1452.0532800999936,,1452.0386099000461,1452.0532800999936,1453.053384799976,1453.053384799976,1453.053384799976,1453.8875438999385,space,0.831012099981308,None,1453.8883223000448,1454.5866554666466,1454.8949009999633,1454.8853126999456,1454.885652899975,1454.8949009999633,1454.8949009999633,1454.8949009999633,1457.3713390999474,600,1,[2.476055599981919],[2.476065899943933],01,001,2025-11-05_18h31.52.568,intentional_binding_exp,,2025.1.1,60.157938622099465,2025-11-05 18h32.02.820104 +0530,
0.4,1000,exp,207,15,12,space,0.3247771000023931,None,245,1,[8.143598700058647],[8.143604299984872],12,15,207,4,1457.38689850003,,1457.3716922999592,1457.38689850003,1458.3875787999714,1458.3875787999714,1458.3875787999714,1458.7205477999523,space,0.3247771000023931,None,1458.720996499993,1459.1204350666997,1459.4277450999944,1459.4169568000361,1459.4174105999991,1459.4277450999944,1459.4277450999944,1459.4277450999944,1467.5716096999822,245,1,[8.143598700058647],[8.143604299984872],01,001,2025-11-05_18h31.52.568,intentional_binding_exp,,2025.1.1,60.157938622099465,2025-11-05 18h32.02.820104 +0530,
0.1,400,unexp,208,0,13,space,0.28471539996098727,None,555,1,[2.49311340006534],[2.4931186999892816],13,0,208,3,1467.587469900027,,1467.5718172999332,1467.587469900027,1468.571462300024,1468.571462300024,1468.5878611999797,1468.871265499969,space,0.28471539996098727,None,1468.8717821999453,1468.971129366608,1469.278917199932,1469.267764499993,1469.2682878000196,1469.278917199932,1469.278917199932,1469.278917199932,1471.772273599985,555,1,[2.49311340006534],[2.4931186999892816],01,001,2025-11-05_18h31.52.568,intentional_binding_exp,,2025.1.1,60.157938622099465,2025-11-05 18h32.02.820104 +0530,
0.1,1000,exp,209,1,13,space,0.2777189000044018,None,210,1,[4.658843499957584],[4.658848699997179],13,1,209,9,1471.7885786000406,,1471.7724803000456,1471.7885786000406,1472.7719518999802,1472.7719518999802,1472.7881609000033,1473.0561481999466,space,0.2777189000044018,None,1473.0568950000452,1473.1710659666608,1473.4799202999566,1473.4686483000405,1473.4691455999855,1473.4799202999566,1473.4799202999566,1473.4799202999566,1478.1390093000373,210,1,[4.658843499957584],[4.658848699997179],01,001,2025-11-05_18h31.52.568,intentional_binding_exp,,2025.1.1,60.157938622099465,2025-11-05 18h32.02.820104 +0530,
0.1,1000,exp,210,2,13,space,0.5917416999582201,None,100,1,[2.95916169998236],[2.959172200062312],13,2,210,15,1478.1547485999763,,1478.1392160999821,1478.1547485999763,1479.1383454999886,1479.1383454999886,1479.1549213000108,1479.739232199965,space,0.5917416999582201,None,1479.740131599945,1479.8546058666582,1480.163508699974,1480.1527137999656,1480.1530486999545,1480.163508699974,1480.163508699974,1480.163508699974,1483.1230641000438,100,1,[2.95916169998236],[2.959172200062312],01,001,2025-11-05_18h31.52.568,intentional_binding_exp,,2025.1.1,60.157938622099465,2025-11-05 18h32.02.820104 +0530,
0.4,1000,exp,211,3,13,space,0.7218537000007927,None,280,1,[3.5618780999211594],[3.5618838999653235],13,3,211,7,1483.138355199946,,1483.1232685999712,1483.138355199946,1484.1384422000265,1484.1384422000265,1484.1384422000265,1484.8718829000136,space,0.7218537000007927,None,1484.872357300017,1485.2717431666717,1485.577874199953,1485.567765799933,1485.5680904999608,1485.577874199953,1485.577874199953,1485.577874199953,1489.1400212999433,280,1,[3.5618780999211594],[3.5618838999653235],01,001,2025-11-05_18h31.52.568,intentional_binding_exp,,2025.1.1,60.157938622099465,2025-11-05 18h32.02.820104 +0530,
0.1,400,unexp,212,4,13,space,0.16710079996846616,None,450,1,[4.573195600067265],[4.573206200031564],13,4,212,0,1489.155369499931,,1489.14029869996,1489.155369499931,1490.1566086999374,1490.1566086999374,1490.1566086999374,1490.3397369999439,space,0.16710079996846616,None,1490.3402914999751,1490.4388777666647,1490.7500372999348,1490.7404061999405,1490.7407447999576,1490.7500372999348,1490.7500372999348,1490.7500372999348,1495.3234905999852,450,1,[4.573195600067265],[4.573206200031564],01,001,2025-11-05_18h31.52.568,intentional_binding_exp,,2025.1.1,60.157938622099465,2025-11-05 18h32.02.820104 +0530,
0.4,1000,exp,213,5,13,space,0.34858029999304563,None,350,1,[7.773482799995691],[7.773493699962273],13,5,213,4,1495.3391072000377,,1495.323696800042,1495.3391072000377,1496.338884799974,1496.338884799974,1496.338884799974,1496.6905054999515,space,0.34858029999304563,None,1496.6910984000424,1497.1065764666457,1497.4178311999422,1497.4070149000036,1497.407350399997,1497.4178311999422,1497.4178311999422,1497.4178311999422,1505.191673399997,350,1,[7.773482799995691],[7.773493699962273],01,001,2025-11-05_18h31.52.568,intentional_binding_exp,,2025.1.1,60.157938622099465,2025-11-05 18h32.02.820104 +0530,
0.7,1000,exp,214,6,13,space,0.7623048999812454,None,500,1,[1.943767899996601],[1.9437733000377193],13,6,214,14,1505.206210799981,,1505.1918783000438,1505.206210799981,1506.2073947000317,1506.2073947000317,1506.2073947000317,1506.9734841999598,space,0.7623048999812454,None,1506.9740279000252,1507.6735890666644,1507.9798400000436,1507.9694877000293,1507.9698267999338,1507.9798400000436,1507.9798400000436,1507.9798400000436,1509.92386119999,500,1,[1.943767899996601],[1.9437733000377193],01,001,2025-11-05_18h31.52.568,intentional_binding_exp,,2025.1.1,60.157938622099465,2025-11-05 18h32.02.820104 +0530,
