thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
81,0,81,[np.float64(0.08148148148148149)],[np.float64(0.36666666666666664)],[1],[0],[0],[2.813281200000347],['target'],81,0,81,0,219.2758928,,10,219.2664595,219.2758928,219.2758928,0.0200783,222.0797976,[np.float64(0.08148148148148149)],[np.float64(0.36666666666666664)],[1],[0],[0],[2.813281200000347],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
82,0,82,[np.float64(0.3416666666666667)],[np.float64(0.22685185185185186)],[1],[0],[0],[2.3056108000000677],['target'],82,0,82,0,222.0989897,,5,222.0913573,222.0989897,222.0989897,0.0114467,224.3970222,[np.float64(0.3416666666666667)],[np.float64(0.22685185185185186)],[1],[0],[0],[2.3056108000000677],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
83,0,83,[np.float64(0.26944444444444443)],[np.float64(-0.45092592592592595)],[1],[0],[0],[4.081002800001443],['target'],83,0,83,0,224.4269084,,10,224.4169049,224.4269084,224.4269084,0.0197966,228.4979671,[np.float64(0.26944444444444443)],[np.float64(-0.45092592592592595)],[1],[0],[0],[4.081002800001443],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
84,0,84,[np.float64(0.03981481481481482)],[np.float64(-0.3435185185185185)],[1],[0],[0],[1.7142499999990832],['target'],84,0,84,0,228.5271952,,10,228.5173657,228.5271952,228.5271952,0.0192864,230.2316726,[np.float64(0.03981481481481482)],[np.float64(-0.3435185185185185)],[1],[0],[0],[1.7142499999990832],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
85,0,85,[np.float64(-0.12777777777777777)],[np.float64(0.41203703703703703)],[1],[0],[0],[3.6919385000001057],['target'],85,0,85,0,230.250071,,5,230.2401387,230.250071,230.250071,0.0083565,233.9321456,[np.float64(-0.12777777777777777)],[np.float64(0.41203703703703703)],[1],[0],[0],[3.6919385000001057],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
86,0,86,[np.float64(-0.24814814814814815)],[np.float64(-0.30925925925925923)],[1],[0],[0],[3.2232839000007516],['target'],86,0,86,0,233.950251,,5,233.9421992,233.950251,233.950251,0.0098763,237.1655371,[np.float64(-0.24814814814814815)],[np.float64(-0.30925925925925923)],[1],[0],[0],[3.2232839000007516],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
87,0,87,[np.float64(-0.2101851851851852)],[np.float64(-0.4101851851851852)],[1],[0],[0],[5.515484600000491],['target'],87,0,87,0,237.1970058,,10,237.186426,237.1970058,237.1970058,0.020806,242.701961,[np.float64(-0.2101851851851852)],[np.float64(-0.4101851851851852)],[1],[0],[0],[5.515484600000491],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
88,0,88,[np.float64(-0.475)],[np.float64(-0.31574074074074077)],[1],[0],[0],[2.7480367999996815],['target'],88,0,88,0,242.7307162,,10,242.719986,242.7307162,242.7307162,0.0179197,245.468074,[np.float64(-0.475)],[np.float64(-0.31574074074074077)],[1],[0],[0],[2.7480367999996815],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
89,0,89,[np.float64(-0.3212962962962963)],[np.float64(-0.21481481481481482)],[1],[0],[0],[2.375187800000276],['target'],89,0,89,0,245.48382,,5,245.476618,245.48382,245.48382,0.0084334,247.851862,[np.float64(-0.3212962962962963)],[np.float64(-0.21481481481481482)],[1],[0],[0],[2.375187800000276],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
90,0,90,[np.float64(-0.35462962962962963)],[np.float64(0.3675925925925926)],[1],[0],[0],[4.664287999999942],['target'],90,0,90,0,247.8802602,,10,247.8705001,247.8802602,247.8802602,0.0185513,252.5348592,[np.float64(-0.35462962962962963)],[np.float64(0.3675925925925926)],[1],[0],[0],[4.664287999999942],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
