cue_arrow,target_x,condition,corr_Ans,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,start_key.started,welcome.stopped,start_key.keys,start_key.rt,start_key.duration,trial.started,fixation.started,fixation.stopped,cue_text.started,cue_text.stopped,target.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,thankyou.started,text.started,text.stopped,thankyou.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
←,-0.5,valid,left,241,1,24,left,1,0.3991066000016872,None,24,1,241,4,438.7276945000049,,,,,,,,,438.7142701999983,438.7276945000049,439.2125500999973,439.2125500999973,439.5128279000055,439.8131844000018,439.8131844000018,440.21333779999986,left,1,0.3991066000016872,None,,,,,01,001,2025-11-14_19h53.20.016,cueing_task_exp,,2025.1.1,59.7863713364382,2025-11-14 19h53.27.332117 +0530,
←,-0.5,valid,left,242,2,24,left,1,0.340856700000586,None,24,2,242,6,440.2283693000063,,,,,,,,,440.21393450000323,440.2283693000063,440.71234569999797,440.71234569999797,441.01270680000016,441.32966610000585,441.32966610000585,441.67846189999545,left,1,0.340856700000586,None,,,,,01,001,2025-11-14_19h53.20.016,cueing_task_exp,,2025.1.1,59.7863713364382,2025-11-14 19h53.27.332117 +0530,
→,0.5,valid,right,243,3,24,right,1,0.40194440000050236,None,24,3,243,7,441.69567640000605,,,,,,,,,441.68197099999816,441.69567640000605,442.1783671000012,442.1783671000012,442.4787900999945,442.7791620000062,442.7791620000062,443.1957720000064,right,1,0.40194440000050236,None,,,,,01,001,2025-11-14_19h53.20.016,cueing_task_exp,,2025.1.1,59.7863713364382,2025-11-14 19h53.27.332117 +0530,
→,0.5,valid,right,244,4,24,right,1,0.30601539999770466,None,24,4,244,2,443.2124397000007,,,,,,,,,443.19622179999715,443.2124397000007,443.69527650000236,443.69527650000236,443.9950583000027,444.31293850000657,444.31293850000657,444.6295644000056,right,1,0.30601539999770466,None,,,,,01,001,2025-11-14_19h53.20.016,cueing_task_exp,,2025.1.1,59.7863713364382,2025-11-14 19h53.27.332117 +0530,
→,-0.5,invalid,left,245,5,24,left,1,1.3788258000131464,None,24,5,245,8,444.64481149999483,,,,,,,,,444.63008240000636,444.64481149999483,445.12698109999474,445.12698109999474,445.42886489999364,445.7296245000034,445.7296245000034,447.1130148999946,left,1,1.3788258000131464,None,,,,,01,001,2025-11-14_19h53.20.016,cueing_task_exp,,2025.1.1,59.7863713364382,2025-11-14 19h53.27.332117 +0530,
←,-0.5,valid,left,246,6,24,left,1,0.6177152000018395,None,24,6,246,5,447.1285920999944,,,,,,,,,447.1154386999988,447.1285920999944,447.6121045000036,447.6121045000036,447.9286382999999,448.22915070000454,448.22915070000454,448.8621337000077,left,1,0.6177152000018395,None,,,,,01,001,2025-11-14_19h53.20.016,cueing_task_exp,,2025.1.1,59.7863713364382,2025-11-14 19h53.27.332117 +0530,
←,0.5,invalid,right,247,7,24,right,1,1.4660497000004398,None,24,7,247,9,448.87860949999595,,,,,,,,,448.8628235000069,448.87860949999595,449.361976900007,449.361976900007,449.6626983000024,449.9630036000017,449.9630036000017,451.44560599999386,right,1,1.4660497000004398,None,,,,,01,001,2025-11-14_19h53.20.016,cueing_task_exp,,2025.1.1,59.7863713364382,2025-11-14 19h53.27.332117 +0530,
←,-0.5,valid,left,248,8,24,left,1,0.3229618999903323,None,24,8,248,1,451.46241340000415,,,,,,,,,451.4462050000002,451.46241340000415,451.94600450000144,451.94600450000144,452.24528790000477,452.5457921000052,452.5457921000052,452.87993549999373,left,1,0.3229618999903323,None,,,,,01,001,2025-11-14_19h53.20.016,cueing_task_exp,,2025.1.1,59.7863713364382,2025-11-14 19h53.27.332117 +0530,
→,0.5,valid,right,249,9,24,right,1,0.44934000000648666,None,24,9,249,3,452.8945673999988,,,,,,,,,452.8826270999998,452.8945673999988,453.37960709999606,453.37960709999606,453.67957439999736,453.97908299999835,453.97908299999835,454.4292138000019,right,1,0.44934000000648666,None,,,,,01,001,2025-11-14_19h53.20.016,cueing_task_exp,,2025.1.1,59.7863713364382,2025-11-14 19h53.27.332117 +0530,
→,0.5,valid,right,250,0,25,right,1,0.4801588999980595,None,25,0,250,3,454.44484830000147,,,,,,,,,454.42968380000093,454.44484830000147,454.92959660000633,454.92959660000633,455.2297613999981,455.5293260000035,455.5293260000035,456.01339000000735,right,1,0.4801588999980595,None,,,,,01,001,2025-11-14_19h53.20.016,cueing_task_exp,,2025.1.1,59.7863713364382,2025-11-14 19h53.27.332117 +0530,
←,-0.5,valid,left,251,1,25,left,1,0.3632558999961475,None,25,1,251,6,456.02752679999685,,,,,,,,,456.01587040000595,456.02752679999685,456.5118122999993,456.5118122999993,456.8125580000051,457.1129538999958,457.1129538999958,457.47954670000763,left,1,0.3632558999961475,None,,,,,01,001,2025-11-14_19h53.20.016,cueing_task_exp,,2025.1.1,59.7863713364382,2025-11-14 19h53.27.332117 +0530,
